scenario,iteration,match,latency,timestamp
A1_reactive_update,1,True,0.148091,2025-10-16T11:01:14.703055+00:00
A2_unsubscribed_no_update,1,True,,2025-10-16T11:01:22.863706+00:00
A1_reactive_update,2,True,0.087196,2025-10-16T11:01:24.769635+00:00
A2_unsubscribed_no_update,2,True,,2025-10-16T11:01:32.886152+00:00
A1_reactive_update,3,True,0.012209,2025-10-16T11:01:33.948066+00:00
A2_unsubscribed_no_update,3,True,,2025-10-16T11:01:42.050129+00:00
A1_reactive_update,4,True,0.011465,2025-10-16T11:01:43.091817+00:00
A2_unsubscribed_no_update,4,True,,2025-10-16T11:01:51.200017+00:00
A1_reactive_update,5,True,0.011084,2025-10-16T11:01:54.245688+00:00
A2_unsubscribed_no_update,5,True,,2025-10-16T11:02:02.328261+00:00
A3_derived_property_propagation,1,True,0.161244,2025-10-16T11:02:04.594935+00:00
A3_derived_property_propagation,2,True,0.046598,2025-10-16T11:02:06.707911+00:00
A3_derived_property_propagation,3,True,0.052734,2025-10-16T11:02:08.844656+00:00
A3_derived_property_propagation,4,True,0.07388,2025-10-16T11:02:11.015271+00:00
A3_derived_property_propagation,5,True,0.065322,2025-10-16T11:02:13.114003+00:00
